uniprot_acc	M-D MOCK PBMCB	M-D MCM PBMCB	M-K MOCK PBMCB	M-K MCM PBMCB	P-A MOCK PBMCB	P-A MCM PBMCB	P-W MOCK PBMCB	P-W MCM PBMCB	all MOCK PBMCB	all MCM PBMCB	M-D MOCK TIBC	M-D MCM TIBC	M-K MOCK TIBC	M-K MCM TIBC	P-A MOCK TIBC	P-A MCM TIBC	P-W MOCK TIBC	P-W MCM TIBC	all MOCK TIBC	all MCM TIBC
Q9H013	-3.28806395450301	-3.4978943560878353	-2.9837888067803338	-3.1610328255472373	-3.807588363918978	-3.7407976703559886	-3.030397168935463	-3.230520680594726	-3.3530425440273426	-3.3528757644874947	-2.6974354752134664	-3.396197293414637	-3.059846696766263	-3.633592339411022	-3.4221402106257934	-2.7727317739222945	-4.240969835262396	-4.44693926805823	-3.178079168326213	-3.3001422534973104
Q9H019	-3.517185658571108	-3.521076816626542	-3.46589941152337	-3.172038806743134	-3.038428585775199	-3.035658410713449	-3.374443536411037	-3.288724800882103	-3.4474336955126197	-3.4736664968245643	-3.520280017765644	-3.3093034754509434	-3.5465559179481136	-3.2153466405084403	-3.2179836123584917	-3.0128864825802313	-3.390149468443202	-3.3303090229463193	-3.3567994495189577	-3.396773782068158
Q9H061	-3.3586169495173377	-3.276724995645828	-3.357954311794891	-3.2685170092704605	-3.404142976660021	-3.3496532194368065	-3.3567082272909525	-3.2840791635665343	-3.323506993695708	-3.2474399072139657	-3.378433170656813	-3.340106492214275	-3.1172393509075453	-3.004998480501208	-3.592394345376589	-3.4543988954156943	-3.488962741315392	-3.327125646042439	-3.348149502994802	-3.2619738952907382
Q9H063	-3.471279474212825	-3.580312552633136	-3.0544900005459064	-3.404240697004462	-3.3987700505223017	-3.2495053870168946	-3.3095678682916705	-3.3063756305108782	-3.318029584666414	-3.1944936460992404	-3.167332652133927	-3.1443220260715665	-3.2392189670145317	-3.303978811403399	-3.5012754918006954	-3.5670642871324016	-3.4242632076055024	-3.192947794159477	-3.419323489532092	-3.3251649597338693
Q9H074	-3.2912879872299063	-3.393772685827542	-3.4193626806526316	-3.4039082494640276	-3.1986670194718867	-3.2655017121351477	-3.2046328837484177	-3.3541762626766767	-3.3121026463357186	-3.3972182154161135	-3.3563882550374307	-3.4124629136789983	-3.1865460718951324	-3.313365815761542	-3.4630520274007535	-3.403535460455052	-3.1624197092831823	-3.2379565080659125	-3.3170655258967408	-3.398876196192382
Q9H078	-3.144591814770037	-3.235000235854123	-3.309287570588936	-3.3067477328582244	-3.4370510437877875	-3.5781769017596736	-3.288966103165832	-3.309422121490204	-3.263232755784748	-3.3901452809934547	-3.256338441904291	-3.342244133047388	-3.0216682785703104	-3.504347583560313	-3.4501411811750926	-3.4643929626352223	-3.2140141413496632	-3.497982823450772	-3.1970772493829784	-3.349952134874341
Q9H081	-3.369437398791014	-3.4726348683740444	-3.3160491291999064	-3.283581329147936	-3.1774922548368534	-3.187486142989524	-3.351539335220871	-3.3795900027044015	-3.362739626213759	-3.343751218256078	-3.3681595175104957	-3.3689760870452523	-3.2744249618365404	-3.1532998326443544	-3.561700553908855	-3.6319005643592264	-3.185637311791943	-3.1288256905400456	-3.329886003964718	-3.2992720533645383
Q9H082	-3.418026366165118	-3.3146065209689546	-3.3845549362991765	-3.239393667296824	-3.403958439593917	-3.1743937325874447	-3.369958454015973	-3.181469052198296	-3.454144869501269	-3.309553002184983	-3.2096447391013827	-3.2314449297786685	-3.370730306161785	-3.403435518718377	-3.1902047071940647	-3.2280950365912937	-3.3172884894585484	-3.4859835246338573	-3.394008027452645	-3.4224052564311638
Q9H089	-3.238808133566328	-3.276121178685224	-3.2738644833195156	-3.342287218937709	-3.3978855218706165	-3.3792293379696305	-3.321243554405311	-3.3626739254417504	-3.3053779363163285	-3.3296925858857263	-3.13725957951156	-3.271005535957804	-3.223767834113791	-3.2984140780200404	-3.5033732252183434	-3.4684596943517563	-3.3732063028621826	-3.345324203735569	-3.2713508153994293	-3.364735277995049
Q9H098	-3.216246195252398	-2.848217279128385	-3.454350283948892	-3.843758729867003	-3.715754246029789	-3.5675755725972085	-2.9504333896765607	-3.1617450719189417	-3.4164932642737935	-3.359470867982633	-3.2497482739965653	-3.1637179258755355	-3.741529283257668	-3.236733285076755	-3.4450796275923237	-3.2170600594194125	-3.543937866866945	-3.05727212488922	-3.3700835265002542	-3.3149273799886387
Q9H0A0	-3.4277694202602076	-3.5374599043086397	-3.286031023582769	-3.2388468937943875	-3.236487745893332	-3.182197206744676	-3.436397333925536	-3.412141575779647	-3.2424897086085145	-3.2617245439332145	-3.340117382514298	-3.3906881854649695	-3.1085231243325055	-3.013529181540397	-3.608573091702292	-3.5213046996663766	-3.3326081916341623	-3.267330126172974	-3.3404168766637703	-3.392706619556809
Q9H0A8	-3.1652305820406847	-3.2157592018126167	-3.2786022604563425	-3.277111601258196	-3.391756245057597	-3.485032932688846	-3.368698522356402	-3.3026841323789538	-3.3409806390630292	-3.4225971065271055	-3.2139703176669676	-3.313803433278736	-3.166250587528834	-3.3220514676908275	-3.497719412130966	-3.509275795602485	-3.4648618792370023	-3.5143087962775925	-3.1338681166889093	-3.1594285508310493
Q9H0B6	-3.299338117985479	-3.335768966995853	-3.4038114631557943	-3.3744774454149153	-3.3350697134135623	-3.235590963267793	-3.273481132222399	-3.3007541769987334	-3.3499979436565104	-3.318410661415878	-3.4445849108844317	-3.440692193149152	-3.2073645456699307	-3.045692714435404	-3.3404233515557302	-3.314405453442987	-3.497620643308606	-3.345060264780761	-3.283562565987115	-3.3540583328637696
Q9H0C5	-3.2756303133100952	-3.467152273267704	-3.345036281544246	-3.091100460738909	-3.298308683178002	-3.56480245552581	-3.177362849032713	-3.19908650670289	-3.304763124799516	-3.5773863542086213	-3.4102428145299717	-3.235986415280523	-3.322001860102896	-3.2250664860164378	-3.2554144473984317	-3.086525929469553	-3.536404964442352	-3.6112019985606354	-3.2406947451555057	-3.3716940454847144
Q9H0C8	-3.3517798658086795	-3.4265410349221237	-3.215653525942009	-3.4877515772627614	-3.2609049654082147	-3.3558525344317234	-3.26001948763096	-3.362520044708818	-3.1937425745076826	-3.3312271829993634	-3.349503118333675	-3.4619614330791744	-3.1467619638772857	-3.309750612572199	-3.4070004432013468	-3.422635343661678	-3.2122315402997184	-3.216800620984409	-3.291209292131172	-3.4384037369289535
Q9H0D6	-3.2944286414322863	-3.44702280990746	-3.3140357057677043	-3.331699096907158	-3.180416598687188	-3.3763373685286044	-3.3223922019083094	-3.383707941744736	-3.2374082401370865	-3.3497015225320217	-3.306266730051279	-3.3963662442764377	-3.1379521115191285	-3.3655594671292506	-3.3844013516062943	-3.4208375433864435	-3.2078428166425135	-3.375714915580146	-3.250961824304869	-3.4025029370633346
Q9H0E2	-3.363211253725877	-3.240648083883583	-3.4719544258627293	-3.5456567224824775	-3.7754077760977047	-3.537309743434355	-2.928878451304212	-2.945095918358209	-3.381370752736972	-3.2518357546693366	-3.56828358408877	-3.38064744224805	-3.393685090441106	-3.260978247191788	-2.9770677360427036	-2.9960771100744115	-3.537675469425915	-3.4070073954210227	-3.422650786270798	-3.407517002855331
Q9H0E3	-3.3934425785542164	-3.2834134714214502	-3.350447480732795	-3.301452838804551	-3.267204170687772	-3.2198593789533483	-3.353810596200205	-3.3495047633295	-3.460791599184729	-3.255432287678268	-3.3287823992730305	-3.2245336646157767	-3.3484109632690453	-3.274337575922431	-3.406272792208953	-3.37268524536952	-3.2465689407453184	-3.3191922285542934	-3.389057628509024	-3.320698278018634
