,orig.ident,nCount_RNA,nFeature_RNA
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_A12_S972_comb,cy60,57850,2489
CY89FNA_E07_S247_comb,CY89FNA,73560,3008
CY89FNA_G03_S267_comb,CY89FNA,140351,2929
cy94_cd45pos_H09_S189_comb,cy94,325244,3597
cy82_CD45_pos_1_C12_S516_comb,cy82,281662,4882
cy60_1_cd_45_pos_3_C10_S322_comb,cy60,82798,2704
cy79_p3_CD45_pos_PD1_neg_F03_S159_comb,cy79,37557,2543
cy80_Cd45_pos_PD1_pos_S136_F04_S136_comb,cy80,219091,6260
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G03_S555_comb,cy79,46642,2884
cy80_Cd45_pos_Pd1_neg_S245_C05_S245_comb,cy80,130303,4287
Cy72_CD45_B09_S693_comb,Cy72,44518,2710
cy80_CD45_neg_F10_S454_comb,cy80,43270,2371
cy84_Primary_CD45_pos_D12_S432_comb,cy84,74461,2933
cy80_Cd45_pos_Pd1_neg_S297_E09_S297_comb,cy80,120894,4026
CY89A_CD45_POS_6_A11_S107_comb,CY89A,91531,2675
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_D08_S524_comb,cy79,22786,2680
CY89COREQ1_F05_S353_comb,CY89COREQ1,171803,3750
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_A10_S970_comb,cy60,81230,3155
cy60_1_cd_45_pos_3_E05_S341_comb,cy60,94330,2419
cy72_CD45_pos_H04_S952_comb,cy72,84806,3422
cy80_CD_90_pos_F07_S931_comb,cy80,149525,7776
cy60_1_cd_45_pos_3_D03_S327_comb,cy60,84756,3249
cy94_cd45pos_B04_S112_comb,cy94,295775,5928
CY88CD45POS_2_H11_S479_comb,CY88CD45POS,130725,2733
CY89A_Core_15_C04_S28_comb,CY89A,39029,2066
cy80_Cd45_pos_Pd1_neg_S291_E03_S291_comb,cy80,91573,3764
cy80_Cd45_pos_Pd1_neg_S266_D02_S266_comb,cy80,8614,1897
cy80_CD_90_pos_C05_S893_comb,cy80,139512,8269
CY94CD45POS_1_C03_S123_comb,CY94CD45POS,506656,6764
cy80_Cd45_pos_Pd1_neg_S342_G06_S342_comb,cy80,33917,2998
cy80_Cd45_pos_Pd1_neg_S369_H09_S369_comb,cy80,91505,3503
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_B05_S977_comb,cy60,53256,2634
cy94_cd45neg_cd90pos_F11_S359_comb,cy94,657672,7509
cy79_p3_CD45_pos_PD1_neg_F01_S157_comb,cy79,165647,3477
cy80_CD45_neg_D01_S421_comb,cy80,196771,4299
CY89A_Core_15_G02_S74_comb,CY89A,150453,3092
Cy72_CD45_C10_S706_comb,Cy72,122934,2135
cy79_p3_CD45_pos_PD1_neg_B12_S120_comb,cy79,32276,2287
CY94CD45POS_1_G10_S178_comb,CY94CD45POS,348787,4135
cy80_CD45_pos_PD1_pos_B08_S116_comb,cy80,46087,3869
CY94CD45POS_1_A05_S101_comb,CY94CD45POS,37984,2279
cy53_1_CD45_neg_D07_S331_comb,cy53,49347,3783
cy88_cd_45_pos_F06_S450_comb,cy88,43987,2323
cy88_cd45pos_5_D02_S230_comb,cy88,90584,2656
cy79_p3_CD45_pos_PD1_neg_C07_S127_comb,cy79,171549,3097
CY89A_Core_15_A05_S5_comb,CY89A,47471,3037
CY89COREQ1_C12_S324_comb,CY89COREQ1,105505,3016
cy80_CD45_neg_C10_S898_comb,cy80,30715,3164
Cy81_FNA_CD45_H05_S281_comb,Cy81,234464,2879
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_B11_S503_comb,cy79,17479,1897
cy82_CD45_pos_1_F01_S541_comb,cy82,141444,2919
Cy72_CD45_F10_S742_comb,Cy72,238447,3383
CY94CD45POS_1_E07_S151_comb,CY94CD45POS,158053,3509
cy60_1_cd_45_pos_4_C09_S33_comb,cy60,45036,2564
cy80_CD_90_pos_B02_S878_comb,cy80,146141,8112
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G08_S560_comb,cy79,102024,3749
CY89COREQ1_B10_S310_comb,CY89COREQ1,99500,3064
cy60_1_cd_45_pos_4_H06_S90_comb,cy60,164240,4187
cy82_CD45_pos_1_D06_S522_comb,cy82,471864,2073
CY89A_CD45_POS_6_C04_S124_comb,CY89A,199206,3574
CY89A_Core_15_E11_S59_comb,CY89A,50956,2264
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C05_S989_comb,cy60,60683,2711
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_H03_S1047_comb,cy60,67503,2697
cy60_1_cd_45_pos_4_E03_S51_comb,cy60,82360,2778
cy79_p3_CD45_pos_PD1_neg_A05_S101_comb,cy79,42504,2633
Cy72_CD45_A03_S675_comb,Cy72,174901,3112
cy80_Cd45_pos_Pd1_neg_S267_D03_S267_comb,cy80,78283,3759
CY89COREQ1_G11_S371_comb,CY89COREQ1,100271,3282
Cy72_CD45_C03_S699_comb,Cy72,212772,3232
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_D10_S526_comb,cy79,33070,2610
cy94_cd45neg_cd90pos_E10_S346_comb,cy94,321500,6748
cy94_cd45pos_4_G06_S78_comb,cy94,343199,3902
Cy72_CD45_C06_S702_comb,Cy72,231243,3249
Cy74_CD45_F10_S454_comb,Cy74,116306,2572
cy84_Primary_CD45_pos_A10_S394_comb,cy84,140243,3624
cy60_1_cd_45_pos_4_A03_S3_comb,cy60,85923,3359
CY89A_Core_15_B09_S21_comb,CY89A,80722,2838
CY89COREQ1_B08_S308_comb,CY89COREQ1,84292,2955
CY89A_Core_15_D11_S47_comb,CY89A,50030,2290
CY89COREQ1_G07_S367_comb,CY89COREQ1,57000,2541
cy80_Cd45_pos_Pd1_neg_S289_E01_S289_comb,cy80,87397,3720
CY89FNA_A10_S202_comb,CY89FNA,224414,3022
cy72_CD45_pos_G09_S945_comb,cy72,119230,3260
cy80_CD_90_pos_G06_S942_comb,cy80,340331,9038
Cy72_CD45_F04_S736_comb,Cy72,31955,1865
cy79_p3_CD45_pos_PD1_neg_G10_S178_comb,cy79,148841,4106
cy94_cd45pos_G04_S172_comb,cy94,62120,3293
cy79_p3_CD45_pos_PD1_neg_E05_S149_comb,cy79,40715,2083
cy60_1_cd_45_pos_3_F07_S355_comb,cy60,91468,2921
cy60_1_cd_45_pos_4_D08_S44_comb,cy60,21851,2085
cy94_cd45pos_G05_S173_comb,cy94,185669,4524
cy94_cd45neg_cd90pos_H01_S373_comb,cy94,988429,5776
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_E09_S537_comb,cy79,17334,2318
cy80_cd_90_neg_C03_S123_comb,cy80,271066,2132
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_G05_S1037_comb,cy60,187828,2773
cy60_1_cd_45_pos_3_A06_S294_comb,cy60,36434,2253
CY88CD45POS_2_B09_S405_comb,CY88CD45POS,830829,4914
CY89FNA_C09_S225_comb,CY89FNA,125084,2997
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_C06_S510_comb,cy79,36843,2801
cy60_1_cd_45_pos_3_G07_S367_comb,cy60,142863,3375
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_H02_S1046_comb,cy60,47840,2076
cy78_CD45_neg_3_G01_S745_comb,cy78,58983,3801
cy80_Cd45_pos_Pd1_neg_S343_G07_S343_comb,cy80,48369,3185
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_C04_S508_comb,cy79,28615,2682
cy60_1_cd_45_pos_3_H06_S378_comb,cy60,52395,2495
cy79_p3_CD45_pos_PD1_neg_B11_S119_comb,cy79,36431,2031
cy79_p3_CD45_pos_PD1_neg_A09_S105_comb,cy79,67407,2736
CY88CD45POS_7_B01_S205_comb,CY88CD45POS,1482711,8148
CY94CD45POS_1_E09_S153_comb,CY94CD45POS,133164,3112
cy80_CD45_pos_PD1_pos_A04_S100_comb,cy80,245834,5090
cy80_Cd45_pos_Pd1_neg_S271_D07_S271_comb,cy80,76289,3525
cy80_Cd45_pos_Pd1_neg_S273_D09_S273_comb,cy80,96042,3434
cy94_cd45pos_G01_S169_comb,cy94,122153,3143
cy53_1_CD45_neg_F09_S357_comb,cy53,171921,2636
CY88CD45_150813_E05_S341_comb,CY88CD45,824773,4911
cy80_Cd45_pos_Pd1_neg_S269_D05_S269_comb,cy80,56977,3194
cy79_p3_CD45_pos_PD1_neg_G02_S170_comb,cy79,450123,5861
cy84_Primary_CD45_pos_G09_S465_comb,cy84,212360,3884
CY89COREQ1_E07_S343_comb,CY89COREQ1,103652,3289
cy84_Primary_CD45_pos_H01_S469_comb,cy84,208504,3849
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G10_S562_comb,cy79,23191,2407
cy80_CD_90_pos_D03_S903_comb,cy80,9131,3500
cy94_cd45neg_cd90pos_D07_S331_comb,cy94,150762,4878
CY89A_CD45_POS_6_A02_S98_comb,CY89A,39803,2111
CY89COREQ1_B06_S306_comb,CY89COREQ1,113802,3607
cy94_cd45pos_4_D04_S40_comb,cy94,883409,5661
cy79_p3_CD45_pos_PD1_neg_G03_S171_comb,cy79,19411,1911
cy72_CD45_pos_B01_S877_comb,cy72,36081,3485
cy80_Cd45_pos_Pd1_neg_S341_G05_S341_comb,cy80,57940,6066
cy74_CD45_pos_A08_S680_comb,cy74,187659,3519
cy60_1_cd_45_pos_3_D04_S328_comb,cy60,48777,2615
cy79_p3_CD45_pos_PD1_neg_G09_S177_comb,cy79,134444,3530
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C09_S993_comb,cy60,34050,2125
CY89COREQ1_H01_S373_comb,CY89COREQ1,39749,2358
cy72_CD45_pos_E10_S922_comb,cy72,24274,2272
CY88CD45POS_7_F02_S254_comb,CY88CD45POS,113829,3728
CY89NEG_B06_S18_comb,CY89NEG,80023,3155
cy80_Cd45_pos_Pd1_neg_S200_A08_S200_comb,cy80,180141,3968
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_H11_S1055_comb,cy60,61037,3456
cy84_Primary_CD45_pos_A11_S395_comb,cy84,149099,3796
cy80_cd_90_neg_G12_S180_comb,cy80,121597,2387
CY89A_CD45_POS_6_H09_S189_comb,CY89A,36931,2771
cy72_CD45_pos_F02_S926_comb,cy72,62994,2937
cy94_cd45neg_cd90pos_B03_S303_comb,cy94,148983,4766
cy79_p3_CD45_pos_PD1_neg_G06_S174_comb,cy79,211203,4289
cy80_CD_90_pos_B06_S882_comb,cy80,169145,7755
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_B03_S975_comb,cy60,99213,2742
cy94_cd45neg_cd90pos_H08_S380_comb,cy94,128257,3496
cy53_1_CD45_neg_B04_S304_comb,cy53,55326,3964
cy94_cd45pos_4_B12_S24_comb,cy94,199016,2343
cy84_Primary_CD45_pos_D01_S421_comb,cy84,197603,4011
