,orig.ident,nCount_RNA,nFeature_RNA
cy103_CD45pos_S206,cy103,391983,4418
cy103_CD45pos_S207,cy103,855560,5588
MGH00478_CD45pos_1_S215,MGH00478,476278,3679
MGH00478_CD45pos_1_S230,MGH00478,399180,3474
MGH00478_CD45pos_2_S356,MGH00478,325634,2551
cy126_CD45pos_1_S22,cy126,407441,4024
MGH00478_CD45pos_2_S379,MGH00478,588234,4485
MGH00478_CD45pos_1_S201,MGH00478,387113,3547
MGH00478_CD45pos_2_S368,MGH00478,468254,3130
MGH00478_CD45pos_2_S293,MGH00478,892293,3708
MGH00478_CD45pos_2_S312,MGH00478,611299,3452
MGH00478_CD45pos_2_S344,MGH00478,400529,3676
cy126_CD45pos_1_S28,cy126,534173,4495
cy126_CD45pos_1_S87,cy126,381499,3760
MGH00478_CD45pos_2_S373,MGH00478,514497,3507
MGH00478_CD45pos_1_S202,MGH00478,411958,3406
MGH00478_CD45pos_2_S343,MGH00478,496386,3925
MGH00478_CD45pos_2_S308,MGH00478,574027,4063
MGH00478_CD45pos_2_S354,MGH00478,538258,3486
MGH00478_CD45pos_2_S349,MGH00478,616787,4275
MGH00478_CD45pos_1_S261,MGH00478,492902,3597
MGH00478_CD45pos_1_S194,MGH00478,763570,5806
MGH00478_CD45pos_1_S249,MGH00478,539520,3697
MGH00478_CD45pos_1_S227,MGH00478,420267,3616
MGH00478_CD45pos_2_S381,MGH00478,581810,4006
MGH00478_CD45pos_2_S302,MGH00478,493794,2948
cy126_CD45pos_1_S93,cy126,506779,4545
MGH00478_CD45pos_2_S358,MGH00478,408741,2929
MGH00478_CD45pos_1_S208,MGH00478,433687,3656
MGH00478_CD45pos_2_S361,MGH00478,629292,3508
MGH00478_CD45pos_2_S326,MGH00478,525012,4061
MGH00478_CD45pos_1_S277,MGH00478,721996,4152
MGH00478_CD45pos_2_S334,MGH00478,500834,3651
MGH00478_CD45pos_1_S269,MGH00478,858658,4597
MGH00478_CD45pos_1_S267,MGH00478,456967,3556
cy129PB_CD45pos_S264,cy129PB,1909584,4816
cy129PA_CD45pos_S75,cy129PA,684524,3714
cy129PA_CD45pos_S95,cy129PA,609387,3580
cy129PA_CD45pos_S49,cy129PA,620916,3971
cy129PA_CD45pos_S60,cy129PA,610979,3759
cy121.1_CD45pos_S260,cy121.1,1621962,3695
cy121.1_CD45pos_S204,cy121.1,1182683,4564
cy121.1_CD45pos_S196,cy121.1,733996,4457
cy121.1_CD45pos_S261,cy121.1,1374709,2051
cy121.1_CD45pos_S285,cy121.1,1725732,3447
cy121.1_CD45pos_S264,cy121.1,555808,3227
cy04.3_CD45pos_S58,cy04.3,955365,4319
cy04.3_CD45pos_S15,cy04.3,914028,4344
cy128_CD45pos_S174,cy128,565978,3162
cy128_CD45pos_S156,cy128,344027,2845
cy121.1_CD45pos_S374,cy121.1,494230,3546
cy128_CD45pos_S122,cy128,910351,3843
cy128_CD45pos_S136,cy128,1053776,4182
cy128_CD45pos_S130,cy128,855479,4144
cy128_CD45pos_S97,cy128,1114937,5145
cy121.1_CD45pos_S324,cy121.1,304132,3529
cy128_CD45pos_S116,cy128,1017799,4540
cy121.1_CD45pos_S294,cy121.1,432338,3386
cy128_CD45pos_S180,cy128,629683,3446
cy128_CD45pos_S187,cy128,842046,3596
cy121.1_CD45pos_S297,cy121.1,996144,5018
cy128_CD45pos_S190,cy128,348391,2906
cy128_CD45pos_S143,cy128,640144,3920
cy128_CD45pos_S142,cy128,747012,4111
cy121.1_CD45pos_S311,cy121.1,305946,3510
cy121.1_CD45pos_S323,cy121.1,684118,4534
cy128_CD45pos_S160,cy128,879757,4127
cy121.1_CD45pos_S346,cy121.1,421268,3370
cy128_CD45pos_S138,cy128,743145,3978
cy128_CD45pos_S172,cy128,959944,3972
cy128_CD45pos_S181,cy128,1422676,4381
cy128_CD45pos_S171,cy128,817715,3718
cy128_CD45pos_S163,cy128,1369417,5618
cy128_CD45pos_S170,cy128,822786,3941
cy128_CD45pos_S132,cy128,299795,3158
cy128_CD45pos_S158,cy128,1015913,4431
cy128_CD45pos_S168,cy128,449241,3394
CY75_1_CD45_CD8_8__S371_comb_BCD8,CY75,100333,1744
